date,clade_samples,total_samples,Nextstrain_clade,clade_pct,diff_log,nonvar_diff_log
2022-06-29,4,111,21L (Omicron),0.03603603603603603,0,0.7736688476990982
2022-06-29,23,111,22A (Omicron),0.2072072072072072,1.056052674249314,0.42165128961599346
2022-06-29,61,111,22B (Omicron),0.5495495495495496,0.6143663027068311,0.5688800801301545
2022-06-29,23,111,22C (Omicron),0.2072072072072072,0.6505875661411493,0.5568063256520484
2022-06-30,4,83,21L (Omicron),0.04819277108433735,0,-0.22968547590322796
2022-06-30,12,83,22A (Omicron),0.14457831325301204,-0.6505875661411493,-0.06703858436794063
2022-06-30,37,83,22B (Omicron),0.4457831325301205,-0.499955951529087,-0.10469648802095621
2022-06-30,29,83,22C (Omicron),0.3493975903614458,0.23180161405732447,-0.2876358794175591
2022-06-30,1,83,recombinant,0.01204819277108433,0,-0.22968547590322796
2022-07-01,5,82,21L (Omicron),0.06097560975609756,0.2231435513142097,-0.09579048840404496
2022-07-01,10,82,22A (Omicron),0.12195121951219512,-0.18232155679395445,0.03936454763200977
2022-07-01,46,82,22B (Omicron),0.5609756097560976,0.21772348384487072,-0.09398379924759863
2022-07-01,21,82,22C (Omicron),0.25609756097560976,-0.32277339226305113,0.08618182612170866
2022-07-02,2,38,21L (Omicron),0.05263157894736842,-0.916290731874155,-0.7986090065781037
2022-07-02,10,38,22A (Omicron),0.2631578947368421,0,-1.1040392505361554
2022-07-02,22,38,22B (Omicron),0.5789473684210527,-0.737598943130779,-0.8581729361592291
2022-07-02,4,38,22C (Omicron),0.10526315789473684,-1.6582280766035324,-0.5512965583349779
2022-07-03,2,14,21L (Omicron),0.14285714285714285,0,-1.2965167165253626
2022-07-03,1,14,22A (Omicron),0.07142857142857142,-2.302585092994046,-0.528988352194014
2022-07-03,9,14,22B (Omicron),0.6428571428571429,-0.8938178760220965,-0.9985774245179971
2022-07-03,2,14,22C (Omicron),0.14285714285714285,-0.6931471805599453,-1.0654676563387142
2022-07-04,1,17,21L (Omicron),0.0588235294117647,-0.6931471805599453,0.49721829225923897
2022-07-04,2,17,22A (Omicron),0.1176470588235294,0.6931471805599453,0.03512017188594211
2022-07-04,10,17,22B (Omicron),0.5882352941176471,0.10536051565782634,0.23104906018664842
2022-07-04,4,17,22C (Omicron),0.2352941176470588,0.6931471805599453,0.03512017188594211
2022-07-05,7,135,21L (Omicron),0.05185185185185185,1.9459101490553132,2.053788512342157
2022-07-05,21,135,22A (Omicron),0.15555555555555556,2.3513752571634776,1.9186334763061026
2022-07-05,86,135,22B (Omicron),0.6370370370370371,2.1517622032594614,1.9851711609407745
2022-07-05,21,135,22C (Omicron),0.15555555555555556,1.6582280766035324,2.1496825364927505
2022-07-06,3,53,21L (Omicron),0.05660377358490566,-0.8472978603872034,-1.0811982683140642
2022-07-06,5,53,22A (Omicron),0.09433962264150944,-1.4350845252893227,-0.8852693800133578
2022-07-06,37,53,22B (Omicron),0.6981132075471698,-0.843429383609283,-1.0824877605733711
2022-07-06,8,53,22C (Omicron),0.1509433962264151,-0.9650808960435873,-1.041937256428603
2022-07-07,1,79,21L (Omicron),0.01265822784810126,-1.0986122886681098,0.6652676163896153
2022-07-07,22,79,22A (Omicron),0.27848101265822783,1.4816045409242158,-0.19480466014115985
2022-07-07,45,79,22B (Omicron),0.569620253164557,0.19574457712609528,0.23381532779154698
2022-07-07,11,79,22C (Omicron),0.13924050632911392,0.3184537311185349,0.19291227646073375
2022-07-08,7,114,21L (Omicron),0.06140350877192982,1.9459101490553132,0.14878930248147682
2022-07-08,13,114,22A (Omicron),0.11403508771929824,-0.5260930958967793,0.9727903841321743
2022-07-08,77,114,22B (Omicron),0.6754385964912281,0.5371429320833645,0.6183783748054598
2022-07-08,17,114,22C (Omicron),0.14912280701754385,0.4353180712578455,0.6523199950806328
2022-07-09,3,77,21L (Omicron),0.03896103896103896,-0.8472978603872034,-0.44486326598746856
2022-07-09,8,77,22A (Omicron),0.1038961038961039,-0.485507815781701,-0.5654599475226361
2022-07-09,56,77,22B (Omicron),0.7272727272727273,-0.3184537311185345,-0.6211446424103583
2022-07-09,10,77,22C (Omicron),0.12987012987012986,-0.5306282510621703,-0.5504198024291463
2022-07-10,3,38,21L (Omicron),0.07894736842105263,0,-0.6020494022267184
2022-07-10,8,38,22A (Omicron),0.21052631578947367,0,-0.6020494022267184
2022-07-10,23,38,22B (Omicron),0.6052631578947368,-0.889857474806,-0.3054302439580518
2022-07-10,4,38,22C (Omicron),0.10526315789473684,-0.9162907318741553,-0.29661915826866664
2022-07-11,1,50,21L (Omicron),0.02,-1.0986122886681098,-0.007326302239591668
2022-07-11,6,50,22A (Omicron),0.12,-0.2876820724517808,-0.27763637431170135
2022-07-11,40,50,22B (Omicron),0.8,0.5533852381847866,-0.5579921445238905
2022-07-11,3,50,22C (Omicron),0.06,-0.2876820724517808,-0.27763637431170135
2022-07-12,8,83,22A (Omicron),0.0963855421686747,0.2876820724517808,0.43074124768958
2022-07-12,71,83,22B (Omicron),0.8554216867469879,0.5738004229273792,0.2876820724517808
2022-07-12,4,83,22C (Omicron),0.04819277108433735,0.2876820724517808,0.43074124768958
2022-07-13,9,47,22A (Omicron),0.1914893617021277,0.11778303565638382,-0.27151438213031276
2022-07-13,33,47,22B (Omicron),0.7021276595744681,-0.7661723155748352,0.17046329348529676
2022-07-13,5,47,22C (Omicron),0.10638297872340426,0.2231435513142097,-0.3241946399592257
2022-07-14,6,57,22A (Omicron),0.10526315789473684,-0.4054651081081646,0.24623824254889704
2022-07-14,45,57,22B (Omicron),0.7894736842105263,0.3101549283038394,-0.11157177565710497
2022-07-14,6,57,22C (Omicron),0.10526315789473684,0.18232155679395468,-0.047655089902162606
2022-07-15,2,84,21L (Omicron),0.0238095238095238,0.6931471805599453,0.31945213238655573
2022-07-15,8,84,22A (Omicron),0.09523809523809525,0.2876820724517808,0.45460716842261056
2022-07-15,66,84,22B (Omicron),0.7857142857142857,0.38299225225610556,0.4228371084878357
2022-07-15,8,84,22C (Omicron),0.09523809523809525,0.2876820724517808,0.45460716842261056
2022-07-16,1,69,21L (Omicron),0.0144927536231884,-0.6931471805599453,0.01436404768493175
2022-07-16,9,69,22A (Omicron),0.13043478260869565,0.11778303565638382,-0.25594602438717795
2022-07-16,49,69,22B (Omicron),0.7101449275362319,-0.2978344439157987,-0.11740686452978377
2022-07-16,10,69,22C (Omicron),0.14492753623188406,0.22314355131421015,-0.2910661962731201
2022-07-17,1,58,21L (Omicron),0.01724137931034482,0,-0.429710204222081
2022-07-17,9,58,22A (Omicron),0.15517241379310345,0,-0.429710204222081
2022-07-17,45,58,22B (Omicron),0.7758620689655172,-0.08515780834030684,-0.40132426810864535
2022-07-17,3,58,22C (Omicron),0.05172413793103448,-1.2039728043259361,-0.028385936113435612
2022-07-18,1,89,21K (Omicron),0.01123595505617977,-0.6931471805599453,0.4797747229011642
2022-07-18,2,89,21L (Omicron),0.02247191011235955,0.6931471805599453,0.13320113262119151
2022-07-18,12,89,22A (Omicron),0.1348314606741573,0.2876820724517808,0.23456740964823264
2022-07-18,69,89,22B (Omicron),0.7752808988764045,0.42744401482694006,0.19962692405444282
2022-07-18,5,89,22C (Omicron),0.05617977528089887,0.5108256237659905,0.1787815218196802
2022-07-19,1,97,21L (Omicron),0.01030927835051546,-0.6931471805599453,0.06754834325528947
2022-07-19,13,97,22A (Omicron),0.13402061855670103,0.08004270767353638,-0.19018161948920442
2022-07-19,78,97,22B (Omicron),0.8041237113402062,0.12260232209233202,-0.20436815762880298
2022-07-19,5,97,22C (Omicron),0.05154639175257732,0,-0.16350071693135895
2022-07-20,1,80,21K (Omicron),0.0125,0,-0.2570184719016165
2022-07-20,5,80,22A (Omicron),0.0625,-0.9555114450274365,0.06148534310752899
2022-07-20,67,80,22B (Omicron),0.8375,-0.15201620729862597,-0.2063464028020745
2022-07-20,7,80,22C (Omicron),0.0875,0.33647223662121295,-0.36917588410868746
2022-07-21,1,68,21L (Omicron),0.01470588235294117,0,-0.09774706862059228
2022-07-21,11,68,22A (Omicron),0.16176470588235295,0.7884573603642704,-0.36056618874201574
2022-07-21,53,68,22B (Omicron),0.7794117647058824,-0.23440070583884376,-0.019613500007644353
2022-07-21,3,68,22C (Omicron),0.04411764705882353,-0.8472978603872034,0.18468555150847554
2022-07-22,11,105,22A (Omicron),0.10476190476190476,0,0.5145850399730041
2022-07-22,89,105,22B (Omicron),0.8476190476190476,0.5183444561800177,0.25541281188299525
2022-07-22,5,105,22C (Omicron),0.04761904761904761,0.5108256237659905,0.25917222809000884
2022-07-23,1,27,21L (Omicron),0.03703703703703703,0,-0.965849198655412
